fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,amazon.com,54.239.17.6,,amazon-smtp.amazon.com,dns-external-master.amazon.com,,,,
Addition,amazona.com,198.50.233.228,,,ns1.domainmx.com,,,,
Addition,amazonb.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonc.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazond.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Addition,amazone.com,87.238.81.156,,,dns-external-master.amazon.com,,,,
Addition,amazonf.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazong.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonh.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazoni.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonj.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonk.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonl.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonm.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazono.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonp.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonq.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonr.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazons.com,23.21.68.135,,,ns-1664.awsdns-16.co.uk,,,,
Addition,amazont.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonu.com,,,,,,,,
Addition,amazonv.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonw.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonx.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazony.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Addition,amazonz.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Bitsquatting,cmazon.com,103.224.182.251,,mx92.m1bp.com,ns1.above.com,,,,
Bitsquatting,emazon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Bitsquatting,imazon.com,199.59.243.120,,mx76.mb1p.com,ns1.bodis.com,,,,
Bitsquatting,qmazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,alazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,aoazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,aiazon.com,50.63.202.55,,smtp.secureserver.net,ns77.domaincontrol.com,,,,
Bitsquatting,aeazon.com,208.73.210.202,,,ns1.dsredirection.com,,,,
Bitsquatting,a-azon.com,184.168.221.1,,,ns07.domaincontrol.com,,,,
Bitsquatting,amczon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amezon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amizon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amqzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amaxon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amaron.com,72.143.24.146,,mx05-1.mycloudmailbox.com,ns61.worldnic.com,,,,
Bitsquatting,amajon.com,,,,,,,,
