fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,kickstarter.com,52.85.90.42,,aspmx.l.google.com,ns-51.awsdns-06.com,,,,
Addition,kickstartera.com,,,,,,,,
Addition,kickstarterb.com,,,,,,,,
Addition,kickstarterc.com,,,,,,,,
Addition,kickstarterd.com,50.63.47.1,,,ns03.domaincontrol.com,,,,
Addition,kickstartere.com,50.63.47.1,,,ns03.domaincontrol.com,,,,
Addition,kickstarterf.com,,,,,,,,
Addition,kickstarterg.com,,,,,,,,
Addition,kickstarterh.com,,,,,,,,
Addition,kickstarteri.com,,,,,,,,
Addition,kickstarterj.com,,,,,,,,
Addition,kickstarterk.com,,,,,,,,
Addition,kickstarterl.com,,,,,,,,
Addition,kickstarterm.com,,,,,,,,
Addition,kickstartern.com,,,,,,,,
Addition,kickstartero.com,,,,,,,,
Addition,kickstarterp.com,,,,,,,,
Addition,kickstarterq.com,,,,,,,,
Addition,kickstarterr.com,173.239.43.213,,kickstarterr.com,dns.site5.com,,,,
Addition,kickstarters.com,158.69.143.112,,,ns1.rentondc.com,,,,
Addition,kickstartert.com,50.63.47.1,,,ns03.domaincontrol.com,,,,
Addition,kickstarteru.com,98.124.199.45,,,dns1.name-services.com,,,,
Addition,kickstarterv.com,,,,,,,,
Addition,kickstarterw.com,,,,,,,,
Addition,kickstarterx.com,97.74.47.1,,smtp.secureserver.net,ns03.domaincontrol.com,,,,
Addition,kickstartery.com,,,,,,,,
Addition,kickstarterz.com,50.63.202.41,,smtp.secureserver.net,ns17.domaincontrol.com,,,,
Bitsquatting,jickstarter.com,,,,,,,,
Bitsquatting,iickstarter.com,,,,,,,,
Bitsquatting,oickstarter.com,,,,,,,,
Bitsquatting,cickstarter.com,185.53.178.9,,mail.h-email.net,ns1.parkingcrew.net,,,,
Bitsquatting,khckstarter.com,,,,,,,,
Bitsquatting,kkckstarter.com,,,,,,,,
Bitsquatting,kmckstarter.com,,,,,,,,
Bitsquatting,kackstarter.com,46.30.213.241,,mxcluster1.one.com,ns01.one.com,,,,
Bitsquatting,kyckstarter.com,,,,,,,,
Bitsquatting,kibkstarter.com,,,,,,,,
Bitsquatting,kiakstarter.com,,,,,,,,
Bitsquatting,kigkstarter.com,,,,,,,,
Bitsquatting,kikkstarter.com,185.53.179.6,,,ns1.parkingcrew.net,,,,
Bitsquatting,kiskstarter.com,185.53.178.7,,mail.h-email.net,ns1.parkingcrew.net,,,,
Bitsquatting,kicjstarter.com,50.63.47.1,,,ns03.domaincontrol.com,,,,
Bitsquatting,kicistarter.com,,,,,,,,
Bitsquatting,kicostarter.com,,,,,,,,
Bitsquatting,kiccstarter.com,,,,,,,,
Bitsquatting,kickrtarter.com,,,,,,,,
Bitsquatting,kickqtarter.com,,,,,,,,
Bitsquatting,kickwtarter.com,,,,,,,,
Bitsquatting,kickctarter.com,,,,,,,,
Bitsquatting,kick3tarter.com,,,,,,,,
Bitsquatting,kicksuarter.com,,,,,,,,
Bitsquatting,kicksvarter.com,,,,,,,,
Bitsquatting,kicksparter.com,,,,,,,,
Bitsquatting,kicksdarter.com,,,,,,,,
Bitsquatting,kicks4arter.com,,,,,,,,
Bitsquatting,kickstcrter.com,,,,,,,,
Bitsquatting,kicksterter.com,199.59.243.120,,mx76.mb1p.com,ns1.bodis.com,,,,
Bitsquatting,kickstirter.com,,,,,,,,
Bitsquatting,kickstqrter.com,50.63.47.1,,,ns03.domaincontrol.com,,,,
Bitsquatting,kickstaster.com,,,,,,,,
Bitsquatting,kickstapter.com,,,,,,,,
Bitsquatting,kickstavter.com,,,,,,,,
Bitsquatting,kickstazter.com,,,,,,,,
Bitsquatting,kickstabter.com,,,,,,,,
Bitsquatting,kicksta2ter.com,,,,,,,,
Bitsquatting,kickstaruer.com,,,,,,,,
Bitsquatting,kickstarver.com,,,,,,,,
Bitsquatting,kickstarper.com,,,,,,,,
Bitsquatting,kickstarder.com,184.168.221.18,,smtp.secureserver.net,ns01.domaincontrol.com,,,,
Bitsquatting,kickstar4er.com,,,,,,,,
Bitsquatting,kickstartdr.com,,,,,,,,
Bitsquatting,kickstartgr.com,,,,,,,,
Bitsquatting,kickstartar.com,107.154.156.19,,mail.kickstartar.com,ns1.bluehost.com,,,,
Bitsquatting,kickstartmr.com,,,,,,,,
Bitsquatting,kickstartur.com,,,,,,,,
Bitsquatting,kickstartes.com,,,,,,,,
Bitsquatting,kickstartep.com,69.172.201.153,,,ns1.uniregistrymarket.link,,,,
Bitsquatting,kickstartev.com,,,,,,,,
